pid,global,contextual,healthcare
391258,5,0,0
439460,0,1,0
849164,1,4,4
60f3c1b003bbf8263f002824,0,0,0
969992,0,0,0
5e861812b23b0a22ef59c4ee,1,0,0
5c4af67cdccaa800016b3192,9,2,0
597658,9,1,0
645222,0,0,0
5c315f577626080001a88cb2,17,8,3
805102,45,7,6
60fec21e36a05990cfa8a715,1,0,0
5a349be43e523d000194399e,10,6,1
5c80c02f8740a300165833bc,5,1,0
743067,0,0,0
5969496f06679c00014b818e,0,0,0
5db1142453bf830017fc744c,7,41,0
606147,7,1,1
61035f1b5f1ff6ea263f7270,2,0,0
60ee4077cdf4f24a1c607783,17,6,6
5bdfa18a90edd30001c90bc8,1,0,0
993453,5,2,0
614254,0,0,0
60fd6e6d7b35102b8ca961a5,0,0,0
58a2788898124900015923bf,2,3,3
6130e3db169db34eb3cde8cc,39,0,0
588623,58,9,2
230769,0,0,0
5e84765c7206730182a6f738,2,0,0
5bd64b67865c0400011f66d8,0,0,0
105905,1,2,0
5ac5207ee1546900019c0279,0,0,0
60fee23ceeaadd40cd6b36c0,0,0,0
921312,0,0,0
340500,3,6,0
218571,0,0,0
330316,0,0,0
6108678bdc10bef3ef27f7f0,0,0,0
5f19f2fc1af38d0bd7d29b13,2,4,0
326424,2,3,3
5ed5eb6e89c9b81780219ab6,6,3,0
5c61ab19776b38000156cc95,1,0,0
825119,15,0,0
61623ea92118b60ca97113c7,1,0,0
577540,0,0,0
601387b4aa37e127b0544497,6,11,0
464573,0,0,0
6113f2f052d844ee0a4bfe61,0,0,0
691142,0,0,0
216141,0,0,0
5f8f46ff0b55a11953d90aa5,4,2,1
5ae5b7e26735bd0001d7dfe3,19,10,3
112193,3,1,0
61648bb6ad1eceeee2c056ee,8,10,2
123011,0,1,1
411951,3,3,2
250672,5,4,3
233362,4,1,0
802434,0,1,1
441420,16,2,2
603e370c5ed1c2db2c3bde24,6,10,3
6108649840bf2b927ef3905c,1,0,0
372771,7,2,0
932389,8,0,0
636433,11,0,0
5c8be0dd542fbd0016924f5f,3,0,0
252479,0,0,0
438599,2,4,4
889469,2,1,0
5e5ab88a43f33029b119a48c,3,14,13
707293,0,0,0
470998,4,0,0
277428,7,1,0
457573,0,0,0
5f786ddd6f28d63e71e631b6,11,12,0
60bd88b8fc436774352f53b9,1,1,1
6111ad0842f24784fc58b1dc,2,0,0
247621,0,0,0
504234,10,2,1
136228,0,0,0
6112cec057db665aefdd7a85,6,0,0
5cf3115e978d46001924e679,3,0,0
276221,0,0,0
709832,1,0,0
5f3d6975ef131710ed519c7a,0,0,0
6107ae1b4c627841741dd5e8,2,9,5
801296,1,0,0
188466,0,0,0
614f4b52dd9b35160ab95af5,4,1,0
606df53de4b0550a5f42fefe,3,4,2
614a74f72a6ff823cff820c2,1,0,0
688310,1,0,0
 403842,0,0,0
673911,0,0,0
635392,1,0,0
131788,0,1,0
5bb31a1018b6bb0001bbb0da,3,1,0
140023,0,2,2
973148,0,0,0
400285,5,2,2
60a48adfe091e410f4eaba34,0,0,0
192670,1,2,1
618827,0,0,0
981199,18,1,0
488250,0,0,0
164591,0,0,0
605504fc7a5a699c16ae8b4d,3,0,0
100538,14,4,1
5f969b802a498b000aab2571,1,6,5
638292,0,0,0
325548,1,2,0
963386,0,0,0
60a69e84d2f871b61d608e89,2,0,0
978584,12,3,1
342703,0,1,0
363198,1,2,2
340465,9,1,0
628608,0,1,0
612e7ef85edba8d26ef96c99,3,1,1
137679,0,0,0
244734,0,0,0
406404,0,0,0
748452,3,2,2
584349,3,2,0
417360,0,0,0
557046,7,2,2
61708ee3b2310aed09670031,1,1,0
564166,0,0,0
5ee256134d95f435aa78964e,5,3,3
948872,0,0,0
704314,1,0,0
6108767c9bec77d0e42e3c44,0,0,0
60e3dea3ffbd0e2a90942794,8,8,6
887037,0,1,0
5fd63cb585f88c4eb1933661,0,0,0
5f565c9592080106c6b4d467,5,3,0
139835,0,0,0
5a8cb6aaaa46dd00016be788,1,0,0
610c42860e3a1a52be2b77da,1,0,0
611d8aa6ab57a5ddf8025b8e,1,0,0
5dd40277e08a363e4e006384,0,3,1
606e4eb2a56685e5593304cd,0,3,1
5f50732850c7c600098593df,0,0,0
516706,6,1,0
480847,4,0,0
298154,10,3,1
5ea3310bf9c4f828f0c909c5,4,1,1
5e26b6765952178df2048d52,0,0,0
231713,0,1,0
959537,10,2,1
5bc5356e65cfb8000154bd82,0,1,0
111226,4,3,1
5f3e5e066dfaa70464615447,0,0,0
147763,4,4,4
5dee72917309b950e5262f3a,8,5,1
525028,7,15,10
6102c2bafd71006cf4fcbd67,1,0,0
899499,1,1,1
638390,0,2,2
